"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"AAANWWTGC_UNKNOWN",4.98924693598644e-06,4.36559106898813e-05,0.610526878385931,0.434584123645896,1.80341723846114,180,"BNC2, KCNJ13, EGFLAM, HOXB2, HOXB6, POU4F1, MRAP, GATA3, CD14, GPC3, SFRP2, TGIF1, HOXC4, BCL6, ELF4, LIPG, GPC6, FZD7, DUSP1, DTX3L, PAX1, PAX6, TRAM1, LEAP2, PDGFRB, SIX5, PRDM16, NFE2L2, MID1, NR2F2, HHEX, SOX5, PARP9, CDC42EP5, SALL3, EPHA7, SGCD, RORA, SOX13, LRRN1, PCTP, PRPF4B, SNCAIP, KANK1, ZHX3, LOX, CDK2AP1, SKIL, MMP3, GTF2E2"
"AAAYRNCTG_UNKNOWN",3.84460115566895e-05,0.000254155578738904,0.557332238758646,0.352590868715267,1.59177181335677,337,"HOXA10, HOXA5, FOXA1, PROK2, EGFLAM, COL1A2, POU4F1, LBX2-AS1, KLF5, LRRN4CL, TNFAIP8, FCER1A, ATOH8, CYBRD1, PRELP, HGF, ITGA10, KANK2, KCNN3, NDNF, ZIC1, COL4A6, EMX2, EYA1, TRPS1, ADAM12, BMPR1B, NFATC4, PCDH18, ID1, PLP2, TRDN, PHEX, STC2, TSC22D3, FGF10, SIPA1, LIX1, RBMS3, MID1, PXN, FGD4, SOX5, ATP1A2, ZIC4, NMI, NTRK2, EDA, FGFR1OP2, DNAJB4, SOX21, AXDND1, LHX9, SH2D6, STAG2, EPHA7, STAG1, ADD3, CA3, BAMBI, SGCD, SESN3, PTH1R, CNTLN, ASB4, TRIM8, ZNF654, NR2F1, HSD3B7, WT1, RAB30, ZNF503, DEF6, SLC26A6, SDCBP, SOX30, MAP3K5, APOBR, LRP5, EPC1, ASPH, PCF11, FMNL3, CCDC174, COCH, DDAH2, CRYGS, CDH2, PHF6, CLDN5, BMX, PLAGL2, LTBP1, ERRFI1"
"AAAYWAACM_HFH4_01",0.0012717388151127,0.00472084863185774,0.45505986738723,0.351664024214315,1.52589317406719,229,"HOXA11, HOXA10, HOXA9, TP63, TFEC, ANGPT2, GSX1, MAFF, ATOH8, NEDD4, BCL6, TBX3, SGK1, INMT, DUSP1, MAML2, RFTN2, FSTL1, PHEX, ID4, ZIC3, IRF4, PRX, ARHGAP30, SPON1, NR2F2, CALD1, STAP1, CDK11A, DTNA, MCC, MSI2, PGM2, REEP4, LHX9, STAG2, CLN5, VASN, ZMYND8, CREBRF, TRIM8, FGF17, KLF3, NIPBL, IKZF3, SNCAIP, PALMD, BMP7, BRCA2, SOX1, WNT5A, SNTB2, IDH1, ANGPTL1, NEO1, TLE3, WFDC10A, SLC10A7, IRS1, HMCN1, ID2, ITGBL1, CADM1, SOX3, C1QTNF6, PIK3C2A, DMD, TCF7L2, LGI1, LYST, RAD21, NUDT11, BUB3, HSF2, RBM39, CRIM1, EFNA1, TCF4, SCRG1, CNBP, SLC39A8, RPS6KB1, ZHX2"
"AACWWCAANK_UNKNOWN",0.664418212478921,0.920332972713066,0.0566484183613995,0.228760895460306,0.911724974013497,134,"OTP, HOXB6, NFIL3, SIX4, PBXIP1, RDH10, SOX5, ZFHX4, SH2D6, NUFIP2, SREK1, OTX1, LRCH2, IKZF3, ACP6, ATL3, BBX, LIX1L, TMEM245, RCN3, HSCB, NFATC3, TBC1D8B, HMBOX1, EXO1, ALCAM, DMD, RAD51B, FAM227B, MAX, RPS6KA5, AFF3, NFIB, MRPL50, DTWD1, TBPL1, FGFR1, ESPL1, JARID2, VCPIP1, PRDM1, TNFRSF19, RPL7, MEPCE, DCAF17, SHMT2, BUB1B, RDH14, C19orf44, CYSLTR1, SRSF6, ZNF189, TRPC4"
"AACYNNNNTTCCS_UNKNOWN",0.424825174825175,0.657707221688264,0.0806388495950661,0.266784341527517,1.01652451918016,93,"HOXA5, TRIP10, TBX6, PAX6, HES1, NOS3"
"AAGWWRNYGGC_UNKNOWN",0.0394137079524651,0.0913130822539381,0.321775918075361,0.348676741382982,1.35701021484664,113,"HOXC10, HOXA9, BNC2, HOXB6, OSR1, ADAMTS9, PAX6, ATF1, CDKN2C, MAFA, RFX3, FMO5, TRIM8, OTX1, UBR5, NEUROD1, EPC1"
"ACAWNRNSRCGG_UNKNOWN",0.98576512455516,1,0.0409883873374721,0.170667547731845,0.606580981634447,59,"GPC6, PTBP1, PELI2, ZFX, TGFB1I1, PCF11, DDX5, ELOVL5, PRPF38B, EP300, DDX17, ZNF638, CTCF, CSNK1A1L, AKAP8, PAK4, CEP95, TMEM187, MTMR3, PUM1, NCOA6"
"ACAWYAAAG_UNKNOWN",0.00406089227765778,0.012837659458402,0.407017918923954,0.407156171165588,1.55226722772449,94,"HAND1, OTP, SHOX2, HOXD12, HOXB7, GPC4, SIX5, LIX1, DOCK11, DKK1, ALDH1A2, LHX9, HSD3B7, LRCH2, S100A3, MMRN2, LCOR, LIX1L"
"ACCTGTTG_UNKNOWN",0.705084745762712,0.96103345041371,0.0541200569620232,0.223075931173358,0.89804716788008,148,"SHOX2, ECEL1, SAMD11, GABRE, OSBPL11, LRRC1, PRRX1, GALNT15, MRC2, ZIC4, MKNK2, MSI2, MAN1A1, CHST11, KCNK13, SOX21, RERG, ARL4A, FGF17, DDAH2, CYSTM1, ANXA9, MTUS1, HERC4, ELOVL5, CADM1, PIP5K1B, NANOS1, JUP, ZFHX3, LAMA4, NOTCH1, CMBL, NUDT11, NR3C2, TSC22D1, PHF2, SUMO2, CLIP1, ZHX2, HAP1, NSUN5P2, TJP1, SYT17, PGM3, FOXO3, HELZ2"
"ACTAYRNNNCCCR_UNKNOWN",1,1,0.0336769978828608,0.121326536785935,0.556251582248448,430,"KCNE4, HSPB9, TRIP10, KCNN3, CYP39A1, TBX6, NOS3, TMOD3, RDH10, TMED5, SESN1, MACC1, HBP1, ARID5A, SERTAD3, CTF1, PURG, OPHN1, SH2D6, ZNF571, AHCTF1, ZNF420, ZNF24, NBR2, CDC6, RAB30, RNASEH2C, KLHL24, CDC45, ZCCHC8, HSPH1, PUS3, TIAL1, TMEM150A, TMEM102, SNX16, DTX2, CCDC126, ATL3, TMEM245, TAF8, HSCB, ASXL2, NCOA3, RBM41, RBL2, CDC25A, TBC1D8B, C14orf178, CDC26, HSD17B4, RRAS, RSBN1, SHKBP1, HMBOX1, WDFY2, BANP, EXO1, PABPC1, RAD51B, RAB8B, CCDC150, ZNF546, ZNF471, BUB3, POLK, ZNF354C, PASK, NR1D1, MAX, SWT1, NTAN1, ZNF112, WRN, MRPL50, SKP2, TIMM21, ZNF274, FKBP4, ZNF235, NUDT12, SPCS2, BET1, DERL1, SESN2, UBR2, ZCCHC7, UBL3, PLEKHA1, TP53, HDAC8, FGFR1, ESPL1, JARID2, FOXO4, IZUMO1, CLINT1, MRPL42, RPL6, DMXL1, ZNF568, TXLNG, PDCD10, MAF1, MITF, TTBK2, TRMT1L, PCM1, SUFU, RPL7, BRCA1"
